# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.uncachedFileAccess,1764466247180000000,1764466271909000000,125
DirectByteBufferAllocator.hits,1764466247180000000,1764466271909000000,3
FilePageCache.maxRegisteredFiles,1764466247180000000,1764466271909000000,617
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1764466247180000000,1764466271909000000,53510144
DirectByteBufferAllocator.misses,1764466247180000000,1764466271909000000,235
FilePageCache.totalPageDisposalsUs,1764466247180000000,1764466271909000000,525
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1764466247180000000,1764466271909000000,52461568
FilePageCache.disposedBuffers,1764466247180000000,1764466271909000000,237
StorageLockContext.competingThreads.90P,1764466247180000000,1764466271909000000,0
DirectByteBufferAllocator.reclaimed,1764466247180000000,1764466271909000000,48
FilePageCache.capacityInBytes,1764466247180000000,1764466271909000000,524288000
DirectByteBufferAllocator.disposed,1764466247180000000,1764466271909000000,189
FilePageCache.pageLoads,1764466247180000000,1764466271909000000,238
StorageLockContext.competingThreads.max,1764466247180000000,1764466271909000000,0
FilePageCache.maxCacheSizeInBytes,1764466247180000000,1764466271909000000,251691008
StorageLockContext.competingThreads.avg,1764466247180000000,1764466271909000000,0.0
FilePageCache.totalPageLoadsUs,1764466247180000000,1764466271909000000,192397
FilePageCache.pageHits,1764466247180000000,1764466271909000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1764466247180000000,1764466271909000000,0
FilePageCache.pageFastCacheHits,1764466247180000000,1764466271909000000,6177
Indexes.stubs.lookupDurationMaxMs,1764466247180000000,1764466271909000000,3.0
Indexes.allKeys.lookupDurationMaxMs,1764466247180000000,1764466271909000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1764466247180000000,1764466271909000000,0.0
Indexes.stubs.lookups,1764466247180000000,1764466271909000000,12.0
Indexes.entries.lookupDuration90PMs,1764466247180000000,1764466271909000000,1.0
Indexes.allKeys.lookups,1764466247180000000,1764466271909000000,0.0
Indexes.allKeys.lookupDuration90PMs,1764466247180000000,1764466271909000000,0.0
Indexes.stubs.lookupDurationAvgMs,1764466247180000000,1764466271909000000,0.25
Indexes.entries.lookups,1764466247180000000,1764466271909000000,37.0
Indexes.entries.lookupDurationMaxMs,1764466247180000000,1764466271909000000,11.0
Indexes.entries.lookupDurationAvgMs,1764466247180000000,1764466271909000000,0.43243243243243246
Indexes.stubs.lookupDuration90PMs,1764466247180000000,1764466271909000000,0.0
OS.loadAverage,1764466247180000000,1764466271909000000,11.13330078125
JVM.GC.collections,1764466247180000000,1764466271909000000,17
JVM.maxNativeBytes,1764466247180000000,1764466271909000000,-1
JVM.maxHeapBytes,1764466247180000000,1764466271909000000,2147483648
JVM.threadCount,1764466247180000000,1764466271909000000,131
JVM.GC.collectionTimesMs,1764466247180000000,1764466271909000000,94
JVM.totalCpuTimeMs,1764466247180000000,1764466271909000000,30058
JVM.usedNativeBytes,1764466247180000000,1764466271909000000,318910936
JVM.usedHeapBytes,1764466247180000000,1764466271909000000,416595552
workspaceModel.replace.project.model.ms,1764466247180000000,1764466271909000000,0
workspaceModel.init.bridges.ms,1764466247180000000,1764466271909000000,1
workspaceModel.pre.handlers.ms,1764466247180000000,1764466271909000000,0
workspaceModel.loading.from.cache.ms,1764466247180000000,1764466271909000000,83
workspaceModel.loading.total.ms,1764466247180000000,1764466271909000000,91
workspaceModel.check.recursive.update.ms,1764466247180000000,1764466271909000000,0
workspaceModel.updates.count,1764466247180000000,1764466271909000000,3
workspaceModel.collect.changes.ms,1764466247180000000,1764466271909000000,0
workspaceModel.initializing.ms,1764466247180000000,1764466271909000000,1
workspaceModel.update.unloaded.entities.ms,1764466247180000000,1764466271909000000,0
workspaceModel.to.snapshot.ms,1764466247180000000,1764466271909000000,0
workspaceModel.updates.precise.ms,1764466247180000000,1764466271909000000,16
workspaceModel.updates.ms,1764466247180000000,1764466271909000000,38
workspaceModel.mutableEntityStorage.entities.ms,1764466247180000000,1764466271909000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1764466247180000000,1764466271909000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1764466247180000000,1764466271909000000,50
workspaceModel.moduleManagerBridge.load.module.ms,1764466247180000000,1764466271909000000,0
jps.load.project.to.empty.storage.ms,1764466247180000000,1764466271909000000,54
jps.global.initialize.library.bridges.ms,1764466247180000000,1764466271909000000,1
jps.storage.jps.conf.reader.load.component.ms,1764466247180000000,1764466271909000000,5
jps.facet.change.listener.before.change.events.ms,1764466247180000000,1764466271909000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1764466247180000000,1764466271909000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1764466247180000000,1764466271909000000,0
jps.global.handle.changed.events.ms,1764466247180000000,1764466271909000000,0
jps.facet.change.listener.process.change.events.ms,1764466247180000000,1764466271909000000,0
